name,state,country,category,is_target
A.T. Still University of Health Sciences,AZ,USA,university,false
AIB College of Business,IA,USA,university,false
AOMA Graduate School of Integrative Medicine,TX,USA,university,false
Abilene Christian University,TX,USA,university,false
Abington Senior High School,PA,USA,high_school,false
Abraham Baldwin Agricultural College,GA,USA,university,false
Academy of Art University,CA,USA,university,false
Adams State College,CO,USA,university,false
Adelphi University,NY,USA,university,false
Adler Graduate School,MN,USA,university,false
Adler School of Professional Psychology,IL,USA,university,false
Adrian College,MI,USA,university,false
Adventist University of Health Sciences,FL,USA,university,false
Agnes Scott College,GA,USA,university,false
Air Force Institute of Technology,OH,USA,university,false
Air University,AL,USA,university,false
Alabama A&M University,AL,USA,university,false
Alabama State University,AL,USA,university,false
Alaska Bible College,AK,USA,university,false
Alaska Pacific University,AK,USA,university,false
Albany College of Pharmacy & Health Sciences,NY,USA,university,false
Albany Medical College,NY,USA,university,false
Albany State University,GA,USA,university,false
Albertus Magnus College,CT,USA,university,false
Albion College,MI,USA,university,false
Albright College,PA,USA,university,false
Alcorn State University,MS,USA,university,false
Alderson-Broaddus College,WV,USA,university,false
Alfred University,NY,USA,university,false
Alice Lloyd College,KY,USA,university,false
Allegheny College,PA,USA,university,false
Allen College,IA,USA,university,false
Allen University,SC,USA,university,false
Alliant International University,CA,USA,university,false
Alma College,MI,USA,university,false
Alvernia University,PA,USA,university,false
Alverno College,WI,USA,university,false
Amberton University,TX,USA,university,false
American Academy of Art,IL,USA,university,false
American College,PA,USA,university,false
American College of Acupuncture & Oriental Medicine,TX,USA,university,false
American College of Education,IL,USA,university,false
American Conservatory Theater,CA,USA,university,false
American Film Institute,CA,USA,university,false
American Indian College of the Assemblies of God,AZ,USA,university,false
American InterContinental University,IL,USA,university,false
American International College,MA,USA,university,false
American Jewish University,CA,USA,university,false
American Military University,WV,USA,university,false
American Public University,WV,USA,university,false
American University,DC,USA,university,false
Amherst College,MA,USA,university,false
Amridge University,AL,USA,university,false
Anderson University,IN,USA,university,false
Anderson University,SC,USA,university,false
Andover Newton Theological School,MA,USA,university,false
Andrews University,MI,USA,university,false
Angelo State University,TX,USA,university,false
Anna Maria College,MA,USA,university,false
Antioch College,OH,USA,university,false
Antioch University-Los Angeles,CA,USA,university,false
Antioch University-Midwest,OH,USA,university,false
Antioch University-New England,NH,USA,university,false
Antioch University-Santa Barbara,CA,USA,university,false
Antioch University-Seattle,WA,USA,university,false
Appalachian Bible College,WV,USA,university,false
Appalachian State University,NC,USA,university,false
Aquinas College,MI,USA,university,false
Aquinas College,TN,USA,university,false
Aquinas Institute of Theology,MO,USA,university,false
Arcadia University,PA,USA,university,false
Argosy University,IL,USA,university,false
Arizona Christian University,AZ,USA,university,false
Arizona State University,AZ,USA,university,false
Arizona State University-Downtown Phoenix Campus,AZ,USA,university,false
Arizona State University-West Campus,AZ,USA,university,false
Arizona State-Polytechnic Campus,AZ,USA,university,false
Arkansas Baptist College,AR,USA,university,false
Arkansas State University,AR,USA,university,false
Arkansas Tech University,AR,USA,university,false
Arlington Baptist College,TX,USA,university,false
Armstrong Atlantic State University,GA,USA,university,false
Art Academy of Cincinnati,OH,USA,university,false
Art Center College of Design,CA,USA,university,false
Art Institute of Atlanta,GA,USA,university,false
Art Institute of Colorado,CO,USA,university,false
Art Institute of Dallas,TX,USA,university,false
Art Institute of Houston,TX,USA,university,false
Art Institute of Pittsburgh,PA,USA,university,false
Art Institute of Portland,OR,USA,university,false
Art Institute of Seattle,WA,USA,university,false
Asbury Theological Seminary,KY,USA,university,false
Asbury University,KY,USA,university,false
Ashford University,IA,USA,university,false
Ashland University,OH,USA,university,false
Associated Mennonite Biblical Seminary,IN,USA,university,false
Assumption College,MA,USA,university,false
Athenaeum of Ohio,OH,USA,university,false
Athens State University,AL,USA,university,false
Auburn University,AL,USA,university,false
Auburn University at Montgomery,AL,USA,university,false
Augsburg College,MN,USA,university,false
Augustana College,IL,USA,university,false
Augustana College,SD,USA,university,false
Aurora University,IL,USA,university,false
Austin College,TX,USA,university,false
Austin Graduate School of Theology,TX,USA,university,false
Austin High School,TX,USA,high_school,false
Austin Peay State University,TN,USA,university,false
Austin Presbyterian Theological Seminary,TX,USA,university,false
Ave Maria University,FL,USA,university,false
Averett University,VA,USA,university,false
Avila University,MO,USA,university,false
Azusa Pacific University,CA,USA,university,false
Babson College,MA,USA,university,false
Bacone College,OK,USA,university,false
Baker College,MI,USA,university,false
Baker University,KS,USA,university,false
Baldwin-Wallace College,OH,USA,university,false
Ball State University,IN,USA,university,false
Bangor Theological Seminary,ME,USA,university,false
Bank Street College of Education,NY,USA,university,false
Baptist Bible College & Seminary,PA,USA,university,false
Baptist Bible College,MO,USA,university,false
Baptist Memorial College of Health Sciences,TN,USA,university,false
Baptist Missionary Association Theological Seminary,TX,USA,university,false
Barclay College,KS,USA,university,false
Bard College,NY,USA,university,false
Bard College at Simon's Rock,MA,USA,university,false
Barnard College,NY,USA,university,false
Barry University,FL,USA,university,false
Barton College,NC,USA,university,false
Bastyr University,WA,USA,university,false
Bates College,ME,USA,university,false
Bauder College,GA,USA,university,false
Bay Path College,MA,USA,university,false
Bay State College,MA,USA,university,false
Baylor College of Medicine,TX,USA,university,false
