id	status
444	Accepted
363	Accepted
604	Accepted
628	Accepted
839	Accepted
1492	Accepted
654	Accepted
657	Accepted
661	Accepted
1574	Accepted
1745	Accepted
1612	Accepted
1132	Accepted
1697	Accepted
1709	Accepted
1710	Accepted
1698	Accepted
1752	Accepted
1825	Accepted
1957	Accepted
1915	Accepted
1999	Accepted
1243	Accepted
1963	Accepted
1276	Accepted
1343	Accepted
751	Declined
838	Declined
1849	Declined
280	Declined
314	Declined
450	Declined
857	Declined
1099	Declined
1567	Declined
1599	Declined
493	Declined
325	Declined
503	Declined
878	Declined
541	Declined
761	Declined
847	Declined
753	Declined
1601	Declined
1630	Declined
1941	Declined
1969	Declined
2007	Declined
1753	Declined
379	Declined
1113	Declined
253	Declined
600	Declined
763	Declined
1076	Declined
249	Declined
577	Declined
961	Declined
995	Declined
1813	Declined
